year,name,category,confidence,loss
2022,HackDao,闪贷+价格操纵,CLASSIFIED,
2022,Novo,授权漏洞,CLASSIFIED,
2022,Discover,重入,CLASSIFIED,
2022,Gym_2,AMM 操纵,CLASSIFIED,
2022,Harmony_multisig,重入,CLASSIFIED,
2022,InverseFinance,AMM 操纵,CLASSIFIED,
2022,Optimism,代理/升级,CLASSIFIED,
2022,Snood,代币漏洞,CLASSIFIED,
2022,XCarnival,授权漏洞,CLASSIFIED,"3087 ETH (~3,870,000 US"
2022,Audius,治理攻击,CLASSIFIED,"704 ETH (~ 1,080,000 US"
2022,FlippazOne,代币漏洞,CLASSIFIED,
2022,LPC,闪贷+价格操纵,CLASSIFIED,"178 BNB (~ 45,715 US"
2022,Omni,AMM 操纵,CLASSIFIED,
2022,Quixotic,闪贷+价格操纵,CLASSIFIED,
2022,SpaceGodzilla,闪贷+价格操纵,CLASSIFIED,"25,378 BUSD"
2022,ANCH,闪贷+价格操纵,CLASSIFIED,
2022,DDC,授权漏洞,CLASSIFIED,
2022,EGD_Finance,闪贷+价格操纵,CLASSIFIED,"~36,044 US"
2022,EtnProduct,闪贷+价格操纵,CLASSIFIED,~3074 USD
2022,LuckyTiger,重入,CLASSIFIED,
2022,NomadBridge,跨链/桥,GROUND_TRUTH,~152M US
2022,Qixi,代币漏洞,CLASSIFIED,~6.8 BNB
2022,ReaperFarm,重入,CLASSIFIED,~1.7M US
2022,XST,AMM 操纵,CLASSIFIED,
2022,BadGuysbyRPF,代币漏洞,CLASSIFIED,
2022,BNB48MEVBot,MEV/抢跑,CLASSIFIED,
2022,BXH,授权漏洞,CLASSIFIED,40085 USDT
2022,DPC,授权漏洞,CLASSIFIED,
2022,MEVbadc0de,借贷清算,CLASSIFIED,
2022,NewFreeDAO,闪贷+价格操纵,CLASSIFIED,4481 BNB (~125M US
2022,NXUSD,AMM 操纵,CLASSIFIED,
2022,RADT,闪贷+价格操纵,CLASSIFIED,
2022,ROI,代币漏洞,CLASSIFIED,"157.98 BNB (~44,000 US"
2022,Shadowfi,授权漏洞,CLASSIFIED,
2022,THB,重入,CLASSIFIED,
2022,Yyds,代币漏洞,CLASSIFIED,
2022,ZoomproFinance,闪贷+价格操纵,CLASSIFIED,
2022,ATK,闪贷+价格操纵,CLASSIFIED,~127K BUSDT
2022,BabySwap,代币漏洞,CLASSIFIED,
2022,BEGO,闪贷+价格操纵,CLASSIFIED,~12 WBNB
2022,Carrot,授权漏洞,CLASSIFIED,// Attacker : 0xd11a93a8db5f8d3fb03b88b4b24c3ed01b8a411c
2022,EFLeverVault,AMM 操纵,CLASSIFIED,~750 ETH
2022,HEALTH,闪贷+价格操纵,CLASSIFIED,~16.64 BNB
2022,HPAY,授权漏洞,CLASSIFIED,~115 BNB
2022,INUKO,AMM 操纵,CLASSIFIED,
2022,Market,AMM 操纵,CLASSIFIED,
2022,MEVa47b,AMM 操纵,CLASSIFIED,~187.75 WETH
2022,MulticallWithoutCheck,签名绕过,CLASSIFIED,
2022,N00d,授权漏洞,CLASSIFIED,
2022,OlympusDao,治理攻击,CLASSIFIED,~
2022,PLTD,闪贷+价格操纵,CLASSIFIED,
2022,RabbyWallet_SwapRouter,代币漏洞,CLASSIFIED,"~200,000 US"
2022,RES,借贷清算,CLASSIFIED,"290,671 USDT"
2022,RL,闪贷+价格操纵,CLASSIFIED,
2022,TeamFinance,闪贷+价格操纵,CLASSIFIED,Multiple Tokens ~
2022,Templedao,重入,CLASSIFIED,
2022,TransitSwap,跨链/桥,CLASSIFIED,over
2022,Uerii,授权漏洞,CLASSIFIED,"~2,5K USDC"
2022,ULME,授权漏洞,CLASSIFIED,~250k US
2022,VTF,闪贷+价格操纵,CLASSIFIED,
2022,XaveFinance,治理攻击,CLASSIFIED,"100,000,000,000,000 RNBW"
2022,Annex,借贷清算,CLASSIFIED,
2022,AUR,闪贷+价格操纵,CLASSIFIED,
2022,BDEX,重入,CLASSIFIED,
2022,BrahTOPG,授权漏洞,CLASSIFIED,
2022,DFX,重入,CLASSIFIED,
2022,Kashi,借贷清算,CLASSIFIED,
2022,MBC_ZZSH,闪贷+价格操纵,CLASSIFIED,
2022,MEV_0ad8,授权漏洞,CLASSIFIED,
2022,MooCAKECTX,闪贷+价格操纵,CLASSIFIED,
2022,NUM,授权漏洞,CLASSIFIED,
2022,Polynomial,授权漏洞,CLASSIFIED,~1.4K USD
2022,SDAO,闪贷+价格操纵,CLASSIFIED,
2022,SEAMAN,闪贷+价格操纵,CLASSIFIED,
2022,SheepFarm2,重入,CLASSIFIED,
2022,SheepFarm,重入,CLASSIFIED,
2022,UEarnPool,重入,CLASSIFIED,
2022,AES,闪贷+价格操纵,CLASSIFIED,
2022,APC,闪贷+价格操纵,CLASSIFIED,
2022,BBOX,闪贷+价格操纵,CLASSIFIED,
2022,BGLD,闪贷+价格操纵,CLASSIFIED,
2022,Defrost,闪贷+价格操纵,CLASSIFIED,
2022,DFS,闪贷+价格操纵,CLASSIFIED,"~1,450 US"
2022,ElasticSwap,AMM 操纵,CLASSIFIED,
2022,FPR,授权漏洞,CLASSIFIED,~
2022,JAY,闪贷+价格操纵,CLASSIFIED,~15.32 ETH
2022,Lodestar,闪贷+价格操纵,CLASSIFIED,
2022,MEVbot_0x28d9,重入,CLASSIFIED,~1300
2022,MUMUG,闪贷+价格操纵,CLASSIFIED,
2022,Nmbplatform,闪贷+价格操纵,CLASSIFIED,
2022,NovaExchange,重入,CLASSIFIED,
2022,Overnight,闪贷+价格操纵,CLASSIFIED,
2022,RFB,闪贷+价格操纵,CLASSIFIED,
2022,Rubic,代理/升级,CLASSIFIED,
2022,TIFI,授权漏洞,CLASSIFIED,
2023,BEVO,闪贷+价格操纵,CLASSIFIED,144 BNB
2023,BRA,闪贷+价格操纵,CLASSIFIED,819 BNB (~224K US
2023,GDS,闪贷+价格操纵,CLASSIFIED,
2023,Midas,AMM 操纵,CLASSIFIED,
2023,OmniEstate,重入,CLASSIFIED,
2023,QTN,签名绕过,CLASSIFIED,
2023,RoeFinance,闪贷+价格操纵,CLASSIFIED,
2023,SHOCO,AMM 操纵,CLASSIFIED,~4 ETH
2023,ThoreumFinance,授权漏洞,CLASSIFIED,~2000 BNB (6 BNB in this tx)
2023,TINU,闪贷+价格操纵,CLASSIFIED,22 ETH
2023,UFDao,重入,CLASSIFIED,
2023,Upswing,授权漏洞,CLASSIFIED,~22 ETH
2023,BonqDAO,闪贷+价格操纵,CLASSIFIED,BEUR stablecoin and ALBT token (~88MUS
2023,CowSwap,闪贷+价格操纵,CLASSIFIED,
2023,Dexible,授权漏洞,CLASSIFIED,
2023,dForce,AMM 操纵,CLASSIFIED,
2023,DYNA,闪贷+价格操纵,CLASSIFIED,
2023,EFVault,重入,CLASSIFIED,
2023,FDP,闪贷+价格操纵,CLASSIFIED,
2023,LaunchZone,授权漏洞,CLASSIFIED,
2023,Orion,重入,CLASSIFIED,
2023,Platypus,AMM 操纵,CLASSIFIED,
2023,RevertFinance,授权漏洞,CLASSIFIED,
2023,Sheep,闪贷+价格操纵,CLASSIFIED,
2023,Starlink,闪贷+价格操纵,CLASSIFIED,
2023,SwapX,授权漏洞,CLASSIFIED,
2023,USDs,代币漏洞,CLASSIFIED,
2023,BIGFI,闪贷+价格操纵,CLASSIFIED,
2023,DBW,闪贷+价格操纵,CLASSIFIED,
2023,DKP,闪贷+价格操纵,CLASSIFIED,
2023,Euler,借贷清算,GROUND_TRUTH,
2023,paraspace,代理/升级,CLASSIFIED,
2023,Phoenix,代理/升级,CLASSIFIED,
2023,poolz,闪贷+价格操纵,CLASSIFIED,
2023,safeMoon,跨链/桥,CLASSIFIED,
2023,Thena,AMM 操纵,CLASSIFIED,
2023,0vix,闪贷+价格操纵,CLASSIFIED,~@2M US
2023,Allbridge,AMM 操纵,CLASSIFIED,
2023,Axioma,闪贷+价格操纵,CLASSIFIED,
2023,HundredFinance_2,闪贷+价格操纵,CLASSIFIED,
2023,MetaPoint,授权漏洞,CLASSIFIED,
2023,OLIFE,闪贷+价格操纵,CLASSIFIED,
2023,Paribus,AMM 操纵,CLASSIFIED,
2023,Sentiment,闪贷+价格操纵,CLASSIFIED,
2023,silo_finance,借贷清算,CLASSIFIED,
2023,Sushi_Router,闪贷+价格操纵,CLASSIFIED,
2023,Swapos,代币漏洞,CLASSIFIED,
2023,YearnFinance,闪贷+价格操纵,CLASSIFIED,
2023,BabyDogeCoin,闪贷+价格操纵,CLASSIFIED,~7.5M USD
2023,Bitpaidio,授权漏洞,CLASSIFIED,~30K US
2023,CS,重入,CLASSIFIED,
2023,DEI,授权漏洞,CLASSIFIED,
2023,ERC20TokenBank,AMM 操纵,CLASSIFIED,~111K USD
2023,FAPEN,重入,CLASSIFIED,~600 USD
2023,GPT,闪贷+价格操纵,CLASSIFIED,
2023,HODLCapital,闪贷+价格操纵,CLASSIFIED,~2.3 ETH
2023,Jimbo,闪贷+价格操纵,CLASSIFIED,
2023,landNFT,重入,CLASSIFIED,"200 land NFT => 28,601"
2023,Level,AMM 操纵,CLASSIFIED,
2023,LFI,签名绕过,CLASSIFIED,~36K USD
2023,LocalTrader2,代理/升级,CLASSIFIED,
2023,LocalTrader,闪贷+价格操纵,CLASSIFIED,
2023,LW,闪贷+价格操纵,CLASSIFIED,~50K US
2023,Melo,授权漏洞,CLASSIFIED,
2023,MultiChainCapital,授权漏洞,CLASSIFIED,~10 ETH
2023,NeverFall,闪贷+价格操纵,CLASSIFIED,
2023,NOON,代币漏洞,CLASSIFIED,~2K USD
2023,SELLC02,代币漏洞,CLASSIFIED,unclear US
2023,SELLC,授权漏洞,CLASSIFIED,~95K US
2023,SellToken,闪贷+价格操纵,CLASSIFIED,
2023,SNK,授权漏洞,CLASSIFIED,
2023,ARA,闪贷+价格操纵,CLASSIFIED,~125K USD
2023,BabyDogeCoin02,闪贷+价格操纵,CLASSIFIED,~100K USD
2023,Biswap,授权漏洞,CLASSIFIED,~72K
2023,BUNN,代币漏洞,CLASSIFIED,
2023,Cellframe,闪贷+价格操纵,CLASSIFIED,~76K USD
2023,CFC,闪贷+价格操纵,CLASSIFIED,~16k
2023,CompounderFinance,AMM 操纵,CLASSIFIED,"~27,174K USD"
2023,Contract_0x7657,重入,CLASSIFIED,~1300
2023,DDCoin,闪贷+价格操纵,CLASSIFIED,~300K USD
2023,DEPUSDT_LEVUSDC,授权漏洞,CLASSIFIED,~36K USD
2023,MidasCapitalXYZ,闪贷+价格操纵,CLASSIFIED,~
2023,MIMSpell,AMM 操纵,CLASSIFIED,~17K USD
2023,MyAi,重入,CLASSIFIED,~10
2023,NST,闪贷+价格操纵,CLASSIFIED,
2023,Pawnfi,AMM 操纵,CLASSIFIED,~
2023,SELLC03,闪贷+价格操纵,CLASSIFIED,unclear US
2023,SHIDO,闪贷+价格操纵,CLASSIFIED,~230K US
2023,STRAC,重入,CLASSIFIED,~13
2023,Sturdy,借贷清算,CLASSIFIED,~800K USD
2023,Themis,AMM 操纵,CLASSIFIED,~370K USD
2023,UnverifiedContr_9ad32,闪贷+价格操纵,CLASSIFIED,~5955  USD
2023,UN,闪贷+价格操纵,CLASSIFIED,~26K USD
2023,VINU,闪贷+价格操纵,CLASSIFIED,~6k USD
2023,ApeDAO,闪贷+价格操纵,CLASSIFIED,~7K USD
2023,ArcadiaFi,借贷清算,CLASSIFIED,~400K USD
2023,AzukiDAO,治理攻击,CLASSIFIED,~
2023,Bamboo,闪贷+价格操纵,CLASSIFIED,~200BNB
2023,Bao,AMM 操纵,CLASSIFIED,~46K USD
2023,BNO,重入,CLASSIFIED,~
2023,Carson,闪贷+价格操纵,CLASSIFIED,~150K USD
2023,Civfund,重入,CLASSIFIED,~165K USD
2023,CIVNFT,闪贷+价格操纵,CLASSIFIED,~180K USD
2023,Conic02,AMM 操纵,CLASSIFIED,~934K USD
2023,Conic,AMM 操纵,CLASSIFIED,~3.25M USD
2023,FFIST,闪贷+价格操纵,CLASSIFIED,~110K USD
2023,GYMNET,闪贷+价格操纵,CLASSIFIED,Unclear
2023,Libertify,授权漏洞,CLASSIFIED,~452K USD
2023,LUSD,闪贷+价格操纵,CLASSIFIED,~16k
2023,MintoFinance,闪贷+价格操纵,CLASSIFIED,~9k US
2023,NewFi,重入,CLASSIFIED,~31K USD
2023,Palmswap,闪贷+价格操纵,CLASSIFIED,~
2023,Platypus02,闪贷+价格操纵,GROUND_TRUTH,~51K USD
2023,RodeoFinance,闪贷+价格操纵,CLASSIFIED,~472 Ether (~
2023,SUT,闪贷+价格操纵,CLASSIFIED,~8K USD
2023,USDTStakingContract28,重入,CLASSIFIED,~20999 USD
2023,Utopia,重入,CLASSIFIED,~
2023,WGPT,闪贷+价格操纵,CLASSIFIED,~80K USD
2023,Balancer,闪贷+价格操纵,CLASSIFIED,~2M
2023,BTC20,闪贷+价格操纵,CLASSIFIED,~18ETH
2023,CurveBurner,AMM 操纵,CLASSIFIED,~
2023,EAC,闪贷+价格操纵,CLASSIFIED,~
2023,EarningFram,重入,CLASSIFIED,~286K USD
2023,EHIVE,闪贷+价格操纵,CLASSIFIED,~
2023,Exactly,借贷清算,CLASSIFIED,~
2023,GSS,闪贷+价格操纵,CLASSIFIED,~
2023,Leetswap,授权漏洞,CLASSIFIED,~630K USD
2023,NeutraFinance,授权漏洞,CLASSIFIED,
2023,SVT,闪贷+价格操纵,CLASSIFIED,
2023,Uwerx,授权漏洞,CLASSIFIED,~176 ETH
2023,Zunami,AMM 操纵,CLASSIFIED,~2M USD
2023,0x0DEX,AMM 操纵,CLASSIFIED,~
2023,APIG,授权漏洞,CLASSIFIED,59.5 ETH and ~72.1k USDT (~
2023,BFCToken,授权漏洞,CLASSIFIED,~
2023,CEXISWAP,代理/升级,CLASSIFIED,~30K USD
2023,DAppSocial,重入,CLASSIFIED,~
2023,DEXRouter,重入,CLASSIFIED,~4K USD
2023,FireBirdPair,授权漏洞,CLASSIFIED,~8536 MATIC (This tx exploit 3211 MATIC)
2023,FloorDAO,重入,CLASSIFIED,~40 eth
2023,HCT,闪贷+价格操纵,CLASSIFIED,30.5BNB
2023,HeavensGate,授权漏洞,CLASSIFIED,~8ETH
2023,JumpFarm,闪贷+价格操纵,CLASSIFIED,~
2023,Kub_Split,闪贷+价格操纵,CLASSIFIED,~78K USD
2023,QuantumWN,闪贷+价格操纵,CLASSIFIED,~0.5 ETH
2023,uniclyNFT,重入,CLASSIFIED,1 NFT (ID: 4689)
2023,XSDWETHpool,闪贷+价格操纵,CLASSIFIED,~ 56.9 BNB
2023,Astrid,授权漏洞,CLASSIFIED,~228591 USD
2023,BelugaDex,AMM 操纵,CLASSIFIED,~
2023,BH,闪贷+价格操纵,CLASSIFIED,~
2023,DePayRouter,重入,CLASSIFIED,~827 USDC
2023,Hopelend,借贷清算,CLASSIFIED,~
2023,kTAF,借贷清算,CLASSIFIED,~
2023,LaEeb,闪贷+价格操纵,CLASSIFIED,~1.8 WBNB
2023,MaestroRouter2,代币漏洞,CLASSIFIED,~280 ETH
2023,MicDao,闪贷+价格操纵,CLASSIFIED,~
2023,OpenLeverage,代币漏洞,CLASSIFIED,~
2023,Platypus03,AMM 操纵,CLASSIFIED,~2M USD
2023,pSeudoEth,闪贷+价格操纵,CLASSIFIED,~1.4 ETH
2023,StarsArena,重入,CLASSIFIED,~3M
2023,UniBot,签名绕过,CLASSIFIED,"~83,994 USD"
2023,WiseLending,AMM 操纵,CLASSIFIED,~260K USD
2023,ZS,代币漏洞,CLASSIFIED,~
2023,3913,闪贷+价格操纵,CLASSIFIED,"~31,354 USD"
2023,AIS,重入,CLASSIFIED,~
2023,bot,闪贷+价格操纵,CLASSIFIED,~
2023,BRAND,闪贷+价格操纵,CLASSIFIED,~23 WBNB
2023,Burntbubba,闪贷+价格操纵,CLASSIFIED,~
2023,CAROLProtocol,AMM 操纵,CLASSIFIED,~
2023,EEE,授权漏洞,CLASSIFIED,~
2023,EHX,闪贷+价格操纵,CLASSIFIED,Unclear
2023,FiberRouter,跨链/桥,CLASSIFIED,
2023,grok,闪贷+价格操纵,CLASSIFIED,~26 ETH
2023,KR,重入,CLASSIFIED,~5
2023,LinkDao,重入,CLASSIFIED,~
2023,MahaLend,借贷清算,CLASSIFIED,~20K USD
2023,MetaLend,借贷清算,CLASSIFIED,~
2023,MEV_0x8c2d,授权漏洞,CLASSIFIED,~
2023,MEV_0xa247,授权漏洞,CLASSIFIED,~
2023,OKC,闪贷+价格操纵,CLASSIFIED,
2023,OnyxProtocol,借贷清算,CLASSIFIED,~
2023,Raft,闪贷+价格操纵,CLASSIFIED,~3.2 M USD
2023,RBalancer,重入,CLASSIFIED,~17  ETH
2023,ShibaToken,授权漏洞,CLASSIFIED,~
2023,SwampFinance,闪贷+价格操纵,CLASSIFIED,Unclear
2023,TheNFTV2,治理攻击,CLASSIFIED,~19K USD
2023,TheStandard_io,AMM 操纵,CLASSIFIED,~
2023,Token8633_9419,重入,CLASSIFIED,~
2023,TrustPad,重入,CLASSIFIED,~
2023,WECO,授权漏洞,CLASSIFIED,~
2023,XAI,闪贷+价格操纵,CLASSIFIED,Unclear
2023,BCT,代币漏洞,CLASSIFIED,~10.2BNB
2023,BEARNDAO,闪贷+价格操纵,CLASSIFIED,~
2023,Bob,闪贷+价格操纵,CLASSIFIED,~3BNB
2023,bZx,借贷清算,CLASSIFIED,~
2023,CCV,闪贷+价格操纵,CLASSIFIED,~3200
2023,ChannelsFinance,代币漏洞,CLASSIFIED,~320K
2023,Channels,AMM 操纵,CLASSIFIED,~
2023,DominoTT,签名绕过,CLASSIFIED,~5
2023,ElephantStatus,重入,CLASSIFIED,~165K USD
2023,FloorProtocol,重入,CLASSIFIED,"~1,6M"
2023,GoodCompound,重入,CLASSIFIED,~
2023,GoodDollar,AMM 操纵,CLASSIFIED,~
2023,HNet,签名绕过,CLASSIFIED,~2.4
2023,HYPR,代理/升级,CLASSIFIED,~200K USD
2023,KEST,闪贷+价格操纵,CLASSIFIED,~
2023,MAMO,闪贷+价格操纵,CLASSIFIED,
2023,NFTTrader,授权漏洞,CLASSIFIED,~3M (info from hacked.slowmist.io)
2023,PHIL,重入,CLASSIFIED,~2
2023,PineProtocol,借贷清算,CLASSIFIED,~90K (info from hacked.slowmist.io)
2023,Telcoin,代理/升级,CLASSIFIED,"~1,24M"
2023,TIME,签名绕过,CLASSIFIED,~84.59 ETH
2023,TransitFinance,闪贷+价格操纵,CLASSIFIED,
2023,UnverifiedContr_0x431abb,治理攻击,CLASSIFIED,~
2024,BarleyFinance,授权漏洞,CLASSIFIED,~
2024,Bmizapper,签名绕过,CLASSIFIED,"114,000 USDC"
2024,CitadelFinance,代币漏洞,CLASSIFIED,~
2024,DAO_SoulMate,重入,CLASSIFIED,~
2024,Freedom,闪贷+价格操纵,CLASSIFIED,~74
2024,Gamma,AMM 操纵,CLASSIFIED,~
2024,LQDX_alert,授权漏洞,CLASSIFIED,
2024,MIC,闪贷+价格操纵,CLASSIFIED,~
2024,MIMSpell2,AMM 操纵,CLASSIFIED,~
2024,NBLGAME,闪贷+价格操纵,CLASSIFIED,~
2024,OrbitChain,跨链/桥,GROUND_TRUTH,~81M
2024,PeapodsFinance,重入,CLASSIFIED,~
2024,RadiantCapital,闪贷+价格操纵,CLASSIFIED,~
2024,Shell_MEV_0xa898,重入,CLASSIFIED,~1000
2024,SocketGateway,重入,CLASSIFIED,~3.3M US
2024,WiseLending02,闪贷+价格操纵,CLASSIFIED,~464K USD
2024,WiseLending03,借贷清算,CLASSIFIED,~464K USD
2024,XSIJ,闪贷+价格操纵,CLASSIFIED,~51K USD
2024,ADC,AMM 操纵,CLASSIFIED,~20 ETH
2024,AffineDeFi,闪贷+价格操纵,CLASSIFIED,33
2024,Babyloogn,重入,CLASSIFIED,~2.24
2024,BlueberryProtocol,AMM 操纵,CLASSIFIED,~
2024,BurnsDefi,闪贷+价格操纵,CLASSIFIED,~
2024,CompoundUni,闪贷+价格操纵,CLASSIFIED,~439537 US
2024,DeezNutz404,闪贷+价格操纵,CLASSIFIED,~170K USD
2024,DN404,重入,CLASSIFIED,200K
2024,DualPools,借贷清算,CLASSIFIED,~
2024,EGGX,闪贷+价格操纵,CLASSIFIED,~2
2024,GAIN,重入,CLASSIFIED,~18ETH
2024,Game,重入,CLASSIFIED,~20 ETH
2024,MINER_bsc,闪贷+价格操纵,CLASSIFIED,~3.5 WBNB
2024,Miner,闪贷+价格操纵,CLASSIFIED,~140
2024,PANDORA,整数溢出/精度,CLASSIFIED,
2024,ParticleTrade,借贷清算,CLASSIFIED,~50
2024,RuggedArt,闪贷+价格操纵,CLASSIFIED,~5
2024,Seneca,签名绕过,CLASSIFIED,~
2024,SMOOFSStaking,重入,CLASSIFIED,Unclear
2024,SwarmMarkets,重入,CLASSIFIED,~7729
2024,Zoomer,重入,CLASSIFIED,~14 ETH
2024,ALP,重入,CLASSIFIED,
2024,ARK,AMM 操纵,CLASSIFIED,
2024,BBT,代币漏洞,CLASSIFIED,5.06 ETH
2024,Binemon,授权漏洞,CLASSIFIED,~0.2
2024,CGT,治理攻击,CLASSIFIED,~998B(cgt token)
2024,ETHFIN,AMM 操纵,CLASSIFIED,~
2024,GHT,签名绕过,CLASSIFIED,~
2024,IT,重入,CLASSIFIED,
2024,Juice,重入,CLASSIFIED,~54 ETH
2024,LavaLending,AMM 操纵,CLASSIFIED,~340K
2024,MO,授权漏洞,CLASSIFIED,
2024,Paraswap,授权漏洞,CLASSIFIED,~
2024,Prisma,闪贷+价格操纵,CLASSIFIED,~
2024,SSS,闪贷+价格操纵,CLASSIFIED,
2024,TGBS,闪贷+价格操纵,CLASSIFIED,~
2024,UnizenIO2,签名绕过,CLASSIFIED,~
2024,UnizenIO,授权漏洞,CLASSIFIED,~2M USD
2024,Woofi,闪贷+价格操纵,CLASSIFIED,~8M
2024,ZongZi,重入,CLASSIFIED,~
2024,ATM,重入,CLASSIFIED,
2024,BigBangSwap,代理/升级,CLASSIFIED,~5k
2024,BNBX,授权漏洞,CLASSIFIED,~5
2024,ChaingeFinance,授权漏洞,CLASSIFIED,~200K
2024,FIL314,重入,CLASSIFIED,~14 BNB
2024,GFA,授权漏洞,CLASSIFIED,
2024,GROKD,授权漏洞,CLASSIFIED,
2024,Hackathon,闪贷+价格操纵,CLASSIFIED,
2024,HedgeyFinance,闪贷+价格操纵,CLASSIFIED,48M USD
2024,HoppyFrogERC,重入,CLASSIFIED,~0.3 ETH
2024,MARS,重入,CLASSIFIED,>
2024,NGFS,代理/升级,CLASSIFIED,~190K
2024,OpenLeverage2,借贷清算,CLASSIFIED,~234K
2024,PikeFinance,代理/升级,CLASSIFIED,1.4M
2024,Rico,代币漏洞,CLASSIFIED,36K
2024,SATX,授权漏洞,CLASSIFIED,~999M US
2024,SQUID,重入,CLASSIFIED,
2024,SumerMoney,闪贷+价格操纵,CLASSIFIED,350K
2024,UnverifiedContr_0x00C409,AMM 操纵,CLASSIFIED,
2024,UPS,重入,CLASSIFIED,
2024,WSM,闪贷+价格操纵,CLASSIFIED,2_517_438_179_912_631_607_253_979 WSM ≈ 18K
2024,XBridge,重入,CLASSIFIED,~
